Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Cobalt concentration (weight%),Tungsten concentration (weight%),Oxygen concentration (ppm),Titanium concentration (ppm),Nitrogen concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Tin concentration (ppm),Arsenic concentration (ppm),Antimony concentration (ppm),Current (A),Voltage (V),AC or DC,Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),50 % FATT,Primary ferrite in microstructure (%),Ferrite with second phase (%),Acicular ferrite (%),Martensite (%),Ferrite with carbide aggregate (%),Weld ID
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-55,100.0,-1,-1,20.0,42.0,38.0,0.0,0.0,Evans-Ni/CMn-1990/1991-1Bawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,443.0,521.0,31.8,77.8,-51,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-1Bht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,498.0,569.0,28.4,78.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-1Caw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-58,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-1Cawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,470.0,557.0,30.2,76.0,-20,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-1Cht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,566.0,641.0,26.4,76.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-1Daw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-39,100.0,-1,-1,6.0,19.0,75.0,0.0,0.0,Evans-Ni/CMn-1990/1991-1Dawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,521.0,612.0,26.0,74.0,1.0,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-1Dht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,466.0,538.0,30.6,77.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-2.25Aaw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-50,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-2.25Aawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,431.0,518.0,32.2,76.9,-41,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-2.25Aht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,489.0,567.0,30.6,76.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-2.25Baw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-59,100.0,-1,-1,16.0,38.0,46.0,0.0,0.0,Evans-Ni/CMn-1990/1991-2.25Bawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,481.0,561.0,29.1,76.9,-44,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-2.25Bht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,567.0,635.0,23.6,72.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-2.25Caw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-38,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-2.25Cawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,530.0,615.0,26.6,73.0,-20,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-2.25Cht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,621.0,684.0,23.5,73.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-2.25Daw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-30,100.0,-1,-1,5.0,14.0,81.0,0.0,0.0,Evans-Ni/CMn-1990/1991-2.25Dawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,574.0,665.0,26.4,70.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-2.25Dht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,479.0,561.0,30.4,76.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-3.5Aaw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-26,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-3.5Aawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,482.0,560.0,31.4,48.8,-63,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-3.5Aht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,525.0,605.0,27.6,76.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-3.5Baw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-48,100.0,-1,-1,14.0,35.0,51.0,0.0,0.0,Evans-Ni/CMn-1990/1991-3.5Bawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,521.0,599.0,28.4,74.0,-38,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-3.5Bht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,621.0,682.0,25.4,72.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-3.5Caw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-18,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-3.5Cawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,584.0,677.0,26.6,70.8,56.0,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-3.5Cht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,692.0,753.0,22.2,69.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-3.5Daw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,24.0,100.0,-1,-1,0.0,33.0,37.0,30.0,0.0,Evans-Ni/CMn-1990/1991-3.5Dawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,662.0,745.0,24.0,67.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-3.5Dht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,150.0,0,0.0,0.0,484.0,560.0,26.0,78.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,Es-Souni&-Cu/CMn-1990--aw***WELDINGPROCEDURE***EvansWeldingJVol59No3(1980)67
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,150.0,0,580.0,2.0,471.0,563.0,31.2,77.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,Es-Souni&-Cu/CMn-1990--ht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,150.0,0,0.0,0.0,502.0,578.0,27.6,77.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,Es-Souni&-Cu/CMn-1990-0.2aw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,150.0,0,580.0,2.0,462.0,548.0,29.8,77.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,Es-Souni&-Cu/CMn-1990-0.2ht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,150.0,0,0.0,0.0,488.0,566.0,28.2,77.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,Es-Souni&-Cu/CMn-1990-0.4aw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,150.0,0,580.0,2.0,453.0,549.0,31.2,78.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,Es-Souni&-Cu/CMn-1990-0.4ht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,150.0,0,0.0,0.0,504.0,586.0,27.6,77.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,Es-Souni&-Cu/CMn-1990-0.8aw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,150.0,0,580.0,2.0,482.0,572.0,28.2,77.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,Es-Souni&-Cu/CMn-1990-0.8ht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,150.0,0,0.0,0.0,513.0,593.0,28.6,77.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,Es-Souni&-Cu/CMn-1990-1.6aw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,150.0,0,580.0,2.0,499.0,607.0,28.6,74.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,Es-Souni&-Cu/CMn-1990-1.6ht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,150.0,0,0.0,0.0,568.0,647.0,27.4,73.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,Es-Souni&-Cu/CMn-1990-3.2aw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,150.0,0,580.0,2.0,583.0,673.0,24.2,73.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,Es-Souni&-Cu/CMn-1990-3.2ht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,431.0,527.0,29.6,78.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-AlTi-1994-5/6ht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-41,28.0,-1,-1,-1,-1,-1,-1,-1,Evans-AlTi-1994-5/6awch1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-19,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-AlTi-1994-5/6awch2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,34.0,57.0,9.0,0.0,0.0,Evans-AlTi-1994-5/6awmic
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,444.0,542.0,27.6,72.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-AlTi-1994-5/60ht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-39,28.0,-1,-1,-1,-1,-1,-1,-1,Evans-AlTi-1994-5/60awch1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-15,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-AlTi-1994-5/60awch2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,45.0,46.0,9.0,0.0,0.0,Evans-AlTi-1994-5/60awmic
