Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Cobalt concentration (weight%),Tungsten concentration (weight%),Oxygen concentration (ppm),Titanium concentration (ppm),Nitrogen concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Tin concentration (ppm),Arsenic concentration (ppm),Antimony concentration (ppm),Current (A),Voltage (V),AC or DC,Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),50 % FATT,Primary ferrite in microstructure (%),Ferrite with second phase (%),Acicular ferrite (%),Martensite (%),Ferrite with carbide aggregate (%),Weld ID
0.041,0.31,0.98,0.008,0.012,3.46,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,521.0,599.0,28.4,74.0,-38,100.0,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-3.5Bht
0.048,0.33,1.4,0.007,0.013,3.47,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,621.0,682.0,25.4,72.9,N,N,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-3.5Caw
0.048,0.33,1.4,0.007,0.013,3.47,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-18,100.0,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-3.5Cawch
0.048,0.33,1.4,0.007,0.013,3.47,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,584.0,677.0,26.6,70.8,56.0,100.0,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-3.5Cht
0.051,0.36,1.79,0.007,0.013,3.42,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,692.0,753.0,22.2,69.7,N,N,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-3.5Daw
0.051,0.36,1.79,0.007,0.013,3.42,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,24.0,100.0,N,N,0.0,33.0,37.0,30.0,0.0,Evans-Ni/CMn-1990/1991-3.5Dawch
0.051,0.36,1.79,0.007,0.013,3.42,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,662.0,745.0,24.0,67.5,N,N,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-3.5Dht
0.074,0.36,1.51,0.008,0.011,N,N,N,N,0.02,N,N,400.0,40.0,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,150.0,MMA,0.0,0.0,484.0,560.0,26.0,78.8,N,N,N,N,N,N,N,N,N,Es-Souni&-Cu/CMn-1990--aw***WELDINGPROCEDURE***EvansWeldingJVol59No3(1980)67
0.074,0.36,1.51,0.008,0.011,N,N,N,N,0.02,N,N,400.0,40.0,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,150.0,MMA,580.0,2.0,471.0,563.0,31.2,77.0,N,N,N,N,N,N,N,N,N,Es-Souni&-Cu/CMn-1990--ht
0.075,0.36,1.48,0.007,0.006,N,N,N,N,0.11,N,N,390.0,40.0,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,150.0,MMA,0.0,0.0,502.0,578.0,27.6,77.0,N,N,N,N,N,N,N,N,N,Es-Souni&-Cu/CMn-1990-0.2aw
0.075,0.36,1.48,0.007,0.006,N,N,N,N,0.11,N,N,390.0,40.0,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,150.0,MMA,580.0,2.0,462.0,548.0,29.8,77.9,N,N,N,N,N,N,N,N,N,Es-Souni&-Cu/CMn-1990-0.2ht
