Carbon concentration (ppm),Silicon concentration (ppm),Manganese concentration (ppm),Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Sulphur concentration (ppm),Phosphorus concentration (ppm),Oxygen concentration (ppm),Nitrogen concentration (ppm),Current (A),Voltage (V),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),AC or DC,Electrode positive or negative,Nickel concentration (ppm),Chromium concentration (ppm),Molybdenum concentration (ppm),Vanadium concentration (ppm),Copper concentration (ppm),Titanium concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
0.0866666666666667,0.4,0.1205673758865247,0.1052631578947368,0.0,0,0.25,0.073170731707317,0.7146892655367232,0.2456896551724138,0.0,0.0,0.763157894736842,0.0833333333333333,0.0,1.0,0.2267686168109191,0.2405382569365228,0.5112296899046678,0.4315781411629491,0.5056078089769921,0.4164199437566012,0.7223955440879615,0.4660861103543539,0.4559376972288858,0.2846986135899642,0.2601745721298085,0.7230270857878207,0.7174019258867896,0.3891597375062174,0.1735968693696885
0.3,0.3555555555555557,0.6808510638297872,0.1052631578947368,0.0,0,0.3125,0.024390243902439,0.847457627118644,0.2801724137931035,0.0,0.0,0.3289473684210526,0.5833333333333333,0.0,0.0,0.4380143617194692,0.3594528742425316,0.3152837525144201,0.3685044509622911,0.2404721157513822,0.2292982183898532,0.4027084201679213,0.503464068401172,0.3439267680389002,0.5636940650904219,0.6153453723636075,0.3197477831184233,0.2861377115889643,0.4160429966393359,0.2097114571922235
0.2733333333333332,0.6000000000000001,0.595744680851064,0.1052631578947368,0.0,0,0.1875,0.1219512195121951,0.6073446327683616,0.1336206896551724,0.0,0.0,0.0,0.0,0.0,1.0,0.4127221937283196,0.2884514870572792,0.4200644721434438,0.4974672720998189,0.2944215376413209,0.3908670256189683,0.5232649400073687,0.6554230932624705,0.5052851196582462,0.4125519379840083,0.492022703712353,0.6107047321045866,0.3422252357255346,0.4106663448127122,0.4097307128247254
0.7666666666666667,0.5111111111111112,0.8794326241134752,0.1052631578947368,0.0,0,0.25,0.073170731707317,0.7146892655367232,0.2456896551724138,0.0,0.0,0.763157894736842,0.0833333333333333,0.0,1.0,0.587254012475787,0.2223464103882609,0.516231312691683,0.4647573327911671,0.3379503805374136,0.378286619649847,0.6034707400321586,0.4871024379544906,0.4307132735330602,0.5329789695123897,0.6034568100126854,0.4703701732720537,0.2893802996663916,0.4429262557724543,0.2486040902318766
0.3066666666666666,0.8666666666666668,0.5531914893617021,0.1052631578947368,0.0,0,0.1875,0.0975609756097561,0.7259887005649717,0.1249999999999999,0.0,0.0,0.763157894736842,0.0833333333333333,0.0,1.0,0.5055894530002492,0.3490735813861465,0.2446337044411046,0.3685044509622911,0.2869817125373961,0.2998685020071678,0.779933659665547,0.503464068401172,0.3439267680389002,0.3410096221496896,0.3790601956390299,0.5918398427507879,0.584455814712272,0.2601200936672488,0.2097114571922235
0.28,1.0,0.624113475177305,0.1052631578947368,0.0,0,0.125,0.0975609756097561,0.5480225988700564,0.0732758620689655,0.0,0.0,0.0,0.0,0.0,1.0,0.5467107769507271,0.1467108093477795,0.5150175996482703,0.7976521232438836,0.2960215350825773,0.368581672897711,0.8966012595101733,0.1737629721837947,0.214465294541458,0.3270147390494729,0.3422183674533229,0.6076343707062966,0.4991722305183601,0.3461465228932279,0.2097114571922235
0.3,0.3777777777777779,0.8723404255319148,0.1052631578947368,0.0,4,0.25,0.024390243902439,0.2994350282485876,0.3232758620689655,0.0,0.0,0.3289473684210526,0.5833333333333333,0.0,1.0,0.5721449625747246,0.4634870412994308,0.5789547122465255,0.6762326395253009,0.6091879867531281,0.6935764000827127,0.4857807975779541,0.4721899441733512,0.6026264750462096,0.5598546781431677,0.5663050526660537,0.5286756146218461,0.3607172373697911,0.6232416973271195,0.3288799306776008
0.1533333333333333,0.5111111111111112,0.9290780141843972,0.1052631578947368,0.0,0,0.3125,0.1951219512195121,0.7146892655367232,0.2456896551724138,0.0,0.0,0.763157894736842,0.0833333333333333,0.0,1.0,0.8650397655792517,0.1268008902867408,0.6771924478222142,0.3819682806735435,0.2529823922831111,0.0786391567713,0.3278166196212368,0.5160638245411064,0.6337460857335289,0.474108369654495,0.5038901003237124,0.5189580410635474,0.4255689989183362,0.7171354989302627,0.4097307128247254
0.5333333333333333,0.0888888888888889,0.4042553191489362,1.0,0.0,3,0.625,0.3414634146341463,0.5282485875706214,0.2456896551724138,1.0,1.0,0.0,0.0,0.0,1.0,0.2344470232733141,0.30561670139315,0.3285661183256875,0.3899685215020343,0.3644027689094258,0.6421837957478285,0.5188699014812089,0.283687440335143,0.4379162794219118,0.2885380005372182,0.3136731027089582,0.6647216444380284,0.4255689989183362,0.711758847103639,0.5152964310752124
0.1,0.4666666666666668,0.9432624113475178,0.1052631578947368,0.0,0,0.3125,0.2926829268292683,0.7146892655367232,0.2456896551724138,0.0,0.0,0.3289473684210526,0.5833333333333333,0.0,1.0,0.578196185840952,0.2446727534420603,0.2096383240922271,0.2877018489626466,0.0752727130841254,0.2733371261417696,0.1666105710390965,0.4619303977397067,0.3198728252062411,0.4651498001109023,0.468224413270946,0.5675459088550411,0.5163614650862995,0.3592420151648429,0.2268556186602598
