AC or DC,Aluminium concentration (%),Boron concentration (%),Carbon concentration (weight%),Chromium concentration (weight%),Copper concentration (weight%),Current (A),Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Manganese concentration (weight%),Molybdenum concentration (weight%),Nickel concentration (weight%),Niobium concentration (%),Nitrogen concentration (%),Oxygen concentration (%),Phosphorus concentration (weight%),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Silicon concentration (weight%),Sulphur concentration (weight%),Titanium concentration (%),Type of weld,Vanadium concentration (weight%),Voltage (V),cluster
0.0,0.0109902457675245,9.823249466532124e-05,0.074,2.779064856710175,0.02,170.0,1.0,1.0,150.0,1.51,0.5951231137393478,0.3907270098582618,0.0079216984702317,0.0082,0.04,0.011,580.0,2.0,0.36,0.008,0.004,0.0,0.097209658501904,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0206965703049357,0.000842761302088,0.075,5.2889633210990015,0.11,170.0,1.0,1.0,150.0,1.48,0.9279364482551142,0.5593542937514258,0.0215378689396706,0.0082,0.039,0.006,0.0,0.0,0.36,0.007,0.004,0.0,0.2080732538051435,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.026503148918244,0.0002180240439415,0.075,0.8859774799825517,0.11,170.0,1.0,1.0,150.0,1.48,0.3795176331426029,0.2128340265879234,0.0257499156077974,0.0082,0.039,0.006,580.0,2.0,0.36,0.007,0.004,0.0,0.0028261685277855,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.007,0.0010059335706009,0.074,0.6432810983917647,0.19,170.0,1.0,1.0,150.0,1.42,0.6438035197382626,0.2397694663941106,0.0012710557844253,0.0082,0.038,0.007,0.0,0.0,0.32,0.008,0.004,0.0,0.018,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0090019807990313,0.0020987732817278,0.074,0.8938311718334284,0.19,170.0,1.0,1.0,150.0,1.42,0.2920505531713475,1.3852681341157282,0.0197123748648926,0.0082,0.038,0.007,580.0,2.0,0.32,0.008,0.004,0.0,0.1075419931930463,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0043409985211505,0.0008712528208962,0.076,1.2230445188795869,0.35,170.0,1.0,1.0,150.0,1.48,0.667060668043115,0.8214550217708243,0.0032544176992155,0.0082,0.04,0.006,0.0,0.0,0.33,0.007,0.004,0.0,0.0518963929706805,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0029832909362733,0.0012856188059185,0.076,4.110261934849846,0.35,170.0,1.0,1.0,150.0,1.48,0.1214590110340183,0.872590567945985,0.0317878399906585,0.0082,0.04,0.006,580.0,2.0,0.33,0.007,0.004,0.0,0.0853291743731857,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0076687253465265,0.001543369675196,0.068,0.35688786132404,0.66,170.0,1.0,1.0,150.0,1.49,1.1276934909945024,0.9329596759374106,0.0244320532484073,0.0082,0.039,0.006,0.0,0.0,0.32,0.006,0.004,0.0,0.0751121986000565,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0336201514563137,0.0019634169814617,0.068,1.5079242031688096,0.66,170.0,1.0,1.0,150.0,1.49,0.2652531767600443,1.7021426937280535,0.0358329444931632,0.0082,0.039,0.006,580.0,2.0,0.32,0.006,0.004,0.0,0.1447956590415383,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0006,0.0007737474008898,0.074,1.387258715438138,0.094715278512229,170.0,1.0,1.0,200.0,1.49,0.8095830445700944,0.2128340265879234,0.0196064930485087,0.0072,0.0471,0.013,250.0,14.0,0.29,0.006,0.0005,0.0,0.018,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.006,0.0005522128010119,0.081,2.165111200547025,0.0767955758619434,170.0,1.0,1.0,200.0,1.43,0.2924708159965741,0.4658022310864547,0.0218848682093578,0.0054,0.0461,0.013,250.0,14.0,0.29,0.006,0.0005,0.0,0.0642788727856294,21.0,MoindreResistance/MeilleurDuctilite
