Carbon concentration (ppm),Silicon concentration (ppm),Manganese concentration (ppm),Sulphur concentration (ppm),Phosphorus concentration (ppm),Nickel concentration (ppm),Chromium concentration (ppm),Molybdenum concentration (ppm),Vanadium concentration (ppm),Copper concentration (ppm),Oxygen concentration (ppm),Titanium concentration (ppm),Nitrogen concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Current (A),Voltage (V),AC or DC,Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
740.0,3200.0,14200.0,80.0,70.0,,,,,1900.0,380.0,40.0,,,,,170.0,21.0,0.0,1,1.0,150.0,0,0.0,0.0,488.0,566.0,28.2,77.0,,
740.0,3200.0,14200.0,80.0,70.0,,,,,1900.0,380.0,40.0,,,,,170.0,21.0,0.0,1,1.0,150.0,0,580.0,2.0,453.0,549.0,31.2,78.8,,
760.0,3300.0,14800.0,70.0,60.0,,,,,3500.0,400.0,40.0,,,,,170.0,21.0,0.0,1,1.0,150.0,0,0.0,0.0,504.0,586.0,27.6,77.0,,
760.0,3300.0,14800.0,70.0,60.0,,,,,3500.0,400.0,40.0,,,,,170.0,21.0,0.0,1,1.0,150.0,0,580.0,2.0,482.0,572.0,28.2,77.9,,
680.0,3200.0,14900.0,60.0,60.0,,,,,6600.0,390.0,40.0,,,,,170.0,21.0,0.0,1,1.0,150.0,0,0.0,0.0,513.0,593.0,28.6,77.0,,
680.0,3200.0,14900.0,60.0,60.0,,,,,6600.0,390.0,40.0,,,,,170.0,21.0,0.0,1,1.0,150.0,0,580.0,2.0,499.0,607.0,28.6,74.0,,
760.0,3600.0,14900.0,60.0,60.0,,,,,14000.0,410.0,40.0,,,,,170.0,21.0,0.0,1,1.0,150.0,0,0.0,0.0,568.0,647.0,27.4,73.0,,
760.0,3600.0,14900.0,60.0,60.0,,,,,14000.0,410.0,40.0,,,,,170.0,21.0,0.0,1,1.0,150.0,0,580.0,2.0,583.0,673.0,24.2,73.0,,
740.0,2900.0,14900.0,60.0,130.0,,,,,,471.0,5.0,72.0,6.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,431.0,527.0,29.6,78.0,,
740.0,2900.0,14900.0,60.0,130.0,,,,,,471.0,5.0,72.0,6.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-41.0,28.0
740.0,2900.0,14900.0,60.0,130.0,,,,,,471.0,5.0,72.0,6.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-19.0,100.0
810.0,2900.0,14300.0,60.0,130.0,,,,,,461.0,5.0,54.0,60.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,444.0,542.0,27.6,72.9,,
810.0,2900.0,14300.0,60.0,130.0,,,,,,461.0,5.0,54.0,60.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-39.0,28.0
810.0,2900.0,14300.0,60.0,130.0,,,,,,461.0,5.0,54.0,60.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-15.0,100.0
