Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2)
0.041,0.3,0.62,0.007,0.01,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,2.38,2.333159080812297,0.80186222789596,0.12563187439490894,0.5375921764727873,0.01878447696590862,0.025254373415468795,0.00252755919746026,0.036942401222896035,0.0,1.0,0.0,431.0,518.0,32.2,76.9,-41.0,100.0,
0.044,0.31,0.96,0.006,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,2.38,3.141913180919194,0.23869927637508503,0.1237120364712743,0.3660616815184182,0.008137720918467532,0.006920555042079203,0.0016387662460211822,0.030444527782086294,0.0,1.0,0.0,489.0,567.0,30.6,76.9,,,
0.044,0.31,0.96,0.006,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,2.38,1.358306689377657,0.5835412091562058,0.06578593209249703,0.2638575577258223,0.009779988127199999,0.03121752012524208,0.0014586882427486685,0.029378003855671214,0.0,1.0,0.0,,,,,-59.0,100.0,
0.044,0.31,0.96,0.006,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,2.38,1.6750650072157232,0.5764448583999404,0.20225932031400606,0.6333655233203569,0.021607922271954884,0.029894092312397615,0.002766033776438585,0.01898456222709167,0.0,1.0,0.0,481.0,561.0,29.1,76.9,-44.0,100.0,
0.049,0.32,1.41,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,2.32,0.2717955716154326,0.0971594541319889,0.08202716522453443,0.38777038979442824,0.015669722150300814,0.020026729785304044,0.0014523145580014778,0.005667678002733781,0.0,1.0,0.0,567.0,635.0,23.6,72.7,,,
0.049,0.32,1.41,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,2.32,1.358306689377657,0.35747023030904823,0.0375587142980114,0.20123901080737083,0.012048825979447796,0.007,0.0001425435538879112,0.007869230640068782,0.0,1.0,0.0,,,,,-38.0,100.0,
0.049,0.32,1.41,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,2.32,2.4197602745486924,0.7562822971471197,0.07304478547254402,0.21817678679894575,0.010601939264671454,0.01686192993852971,0.0010374236637866198,0.03449635321790985,0.0,1.0,0.0,530.0,615.0,26.6,73.0,-20.0,100.0,
0.046,0.32,1.81,0.007,0.015,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,2.33,4.013329820830466,0.37366886848119807,0.23383597282731908,0.2517845457840524,0.009840961622353803,0.02774131941895413,0.0033528581289753072,0.033314556612737314,0.0,1.0,0.0,621.0,684.0,23.5,73.9,,,
0.046,0.32,1.81,0.007,0.015,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,2.33,2.434665970927357,1.0722913528692097,0.13179298041773985,0.1917722914530255,0.014698036535513534,0.0384545279371879,0.0018407358045879434,0.012105086252799326,0.0,1.0,0.0,,,,,-30.0,100.0,
0.046,0.32,1.81,0.007,0.015,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,2.33,2.1420891196412715,0.8384719915799164,0.13362516168030605,0.16342789487798798,0.009628331347205574,0.0013599612508333721,0.0022281285689327666,0.002406488053299115,0.0,1.0,0.0,574.0,665.0,26.4,70.7,,,
