Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
0.043,0.33,1.0,0.006,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,1.1,3.9728461036649114,0.8265929679830182,0.01,0.2265016023913965,0.03642051077702293,0.017197057498974655,0.003136729969316402,0.045492916815708294,0.0,1.0,0.0,475.0,541.0,29.6,77.9,,
0.043,0.33,1.0,0.006,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,1.1,1.1474793313753615,0.4217548124803412,0.01,0.05623664245830334,0.0035212707500197242,0.007479210454902362,0.0006286175325343884,0.005967944939540344,0.0,1.0,0.0,,,,,-55.0,100.0
0.043,0.33,1.0,0.006,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.1,4.749686751857081,0.7650456198559779,0.01,0.11,0.02219007420641459,0.008503340588255543,0.0018865602644527544,0.028027069271405577,0.0,1.0,0.0,443.0,521.0,31.8,77.8,-51.0,100.0
0.049,0.35,1.37,0.007,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,1.06,0.1096199981110175,0.396966291346844,0.01,0.2245882063984922,0.008285029382235626,0.011951663731205165,0.00038658567264273746,0.0037577892325682365,0.0,1.0,0.0,498.0,569.0,28.4,78.8,,
0.049,0.35,1.37,0.007,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,1.06,2.692245634868468,0.29307745086867515,0.01,0.312196018869778,0.0227666774502572,0.020002165101526623,0.00258312208216495,0.03326461000463628,0.0,1.0,0.0,,,,,-58.0,100.0
0.049,0.35,1.37,0.007,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.06,1.1474793313753615,0.43312503339294195,0.09149150763658939,0.34321058874884136,0.0019342834624314527,0.015695239056067747,0.0006286175325343884,0.005967944939540344,0.0,1.0,0.0,470.0,557.0,30.2,76.0,-20.0,100.0
0.053,0.35,1.83,0.007,0.012,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,1.06,0.7252910386423002,0.4247678085093511,0.0859163242082853,0.6516243889568742,0.020293883858997053,0.032347135480185474,0.0009075493649776415,0.005967944939540344,0.0,1.0,0.0,566.0,641.0,26.4,76.0,,
0.053,0.35,1.83,0.007,0.012,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,1.06,1.1474793313753615,0.396966291346844,0.49262738770904846,0.431988463708908,0.001857963428510993,0.007641330215113547,0.00046199353120487236,0.005967944939540344,0.0,1.0,0.0,,,,,-39.0,100.0
0.053,0.35,1.83,0.007,0.012,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.06,7.714616552716762,0.9297331045906602,0.5447617382887899,0.1690643779784322,0.020679830277699835,0.017851029074301104,0.0017021576042010296,0.04237539892969931,0.0,1.0,0.0,521.0,612.0,26.0,74.0,1.0,100.0
0.041,0.3,0.62,0.007,0.01,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,2.38,1.440070167239734,0.6301095153796337,0.01,0.4212273718534505,0.013294633015463976,0.013274602552228655,0.0012571695283335143,0.002485121625158555,0.0,1.0,0.0,466.0,538.0,30.6,77.8,,
