Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),target
0.043,0.12,0.86,0.011,0.017,0.0922,0.0123,300.0,20.0,2.08,150.0,690.0,10.0,0.2,2.01,0.93,0.02,0.2906577299206659,0.0035619063755688,0.007,0.0010711702679789,0.0243149729492665,0.0,1.0,2.0,505.0,600.0,19.0,69.0,-20.0,9.0,,-1
0.074,0.27,1.11,0.009,0.024,0.0556,0.0113,290.0,29.0,2.0,150.0,690.0,10.0,0.17,2.3,0.96,0.018,0.2654010898114934,0.0330083339769815,0.0075816435239102,0.0021859826252343,0.0320736138542674,0.0,1.0,2.0,595.0,675.0,24.0,69.0,70.0,105.0,,-1
0.043,0.3,0.69,0.006,0.007,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.8037099851140403,2.234831194612823,0.5623386964436486,0.1279559891044627,0.4246913573172415,0.0012576125934428,0.0220305733337834,0.0018491732658748,0.0606986743508021,0.0,1.0,0.0,373.0,448.0,34.4,83.0,-40.0,117.0,,-1
0.089,0.33,1.69,0.007,0.008,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.3199125569988564,2.709226489478506,0.1890303306578468,0.0409566859129089,0.0162659798840403,0.0079489380794637,0.007,0.0017782373471777,0.0284278444177731,0.0,1.0,0.0,490.0,597.0,30.2,75.0,20.0,188.0,,-1
0.079,0.37,1.82,0.006,0.007,0.0324,0.0081,170.0,21.0,1.0,200.0,580.0,2.0,1.2006063505122928,2.0908034740788106,1.0453362764943386,0.0005,0.0830941423361074,0.0255,0.0005,0.0005,0.0005,0.0,1.0,0.0,474.0,575.0,29.4,78.0,-61.0,100.0,,-1
0.076,0.37,1.36,0.005,0.009,0.0422,0.0053,170.0,21.0,1.0,200.0,0.0,0.0,1.0204017375146697,7.775010027855423,1.3905061714819047,0.2110746731038381,0.3126836837276803,0.0036,0.019,0.0020138807103713,0.0749729369596944,0.0,1.0,0.0,,,,,-58.0,100.0,,-1
0.06,0.2,1.15,0.007,0.017,0.035,0.0097,170.0,21.0,2.4,125.0,605.0,1.92,0.16,0.052,0.45,0.018,0.128,0.0059729219396102,0.0152561025536225,0.0007737474008898,0.0174191862375456,0.0,1.0,1.0,,,,,-10.0,80.0,,-1
0.048,0.31,1.34,0.008,0.008,0.0371,0.0075,180.0,34.0,1.0,200.0,250.0,14.0,1.7457343369315566,2.421975159835924,0.619482544195946,0.1059806493668968,0.3544039099540366,0.001384457739128,0.007,0.0017536820235469,0.0166609913095143,0.0,1.0,0.0,433.0,504.0,31.0,82.3,,,,-1
0.041,0.3,0.59,0.009,0.011,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,1.0,0.6609170702831269,0.1047070381249772,0.3340200175440702,0.017244955663555,0.0272758343177529,0.0013689868909467,0.0356285906060566,0.0,1.0,0.0,427.0,514.0,29.2,77.9,-12.0,100.0,,-1
0.079,0.57,1.32,0.004,0.008,0.0422,0.0048,170.0,21.0,1.0,200.0,580.0,2.0,1.0548898952327623,1.358306689377657,0.4724704287225336,0.0005,0.4849497571368514,0.0038,0.061,0.0005,0.0005,0.0,1.0,0.0,443.0,550.0,29.4,76.0,-88.0,28.0,,-1
0.07,0.21,0.75,0.011,0.011,0.0421,0.019,170.0,21.0,2.6,250.0,600.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0003185758355466,0.0,0.0,1.0,0.0,369.8,486.6,,76.0,,,174.0,-1
0.08,0.35,0.65,0.01,0.021,0.0421,0.01,170.0,21.0,1.8,140.0,0.0,0.0,1.2,0.0,0.0,0.02,0.0,0.004,0.015,0.0017231610240661,0.0,0.0,1.0,0.0,453.8,536.3,22.6,72.0,,,184.0,-1
0.11,0.14,0.73,0.002,0.005,0.0254,0.0026,500.0,29.0,2.9,200.0,690.0,8.0,1.2101497036674826,2.3,1.03,0.27,0.6678582854587827,0.0024126577350059,0.0457651107136694,0.0025638998713384,0.02,1.0,0.0,1.0,,738.0,,,-20.0,18.0,,-1
0.073,0.35,0.64,0.005,0.004,0.0428,0.0077,170.0,21.0,1.0,200.0,0.0,0.0,1.0782906010656588,1.358306689377657,0.2411125164850228,0.0003,0.2534262085850118,0.0038,0.0005,0.0005,0.0005,0.0,1.0,0.0,,,,,-45.0,100.0,,-1
0.044,0.35,1.43,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.0,1.703456330775548,0.2367194530710541,0.0313495188899692,0.341084094610793,0.004039383185956,0.010469786777307,0.001406357593336,0.0184128534697531,0.0,1.0,0.0,436.0,529.0,31.6,78.8,-58.0,100.0,,-1
0.055,0.48,1.62,0.011,0.021,0.0371,0.0093,170.0,21.0,1.8,100.0,620.0,1.0,0.02,0.7515411251023658,0.54,0.018,0.02,0.0176216458038907,0.0009442151027528,0.002025708844621,0.0155997700038569,0.0,1.0,0.0,628.0,727.0,,,,,,-1
0.066,0.47,1.48,0.007,0.011,0.0285,0.0164,170.0,21.0,1.0,200.0,0.0,0.0,0.2034361841596534,0.1972513700212477,0.4724704287225336,0.0417937430050427,0.2843039213610413,0.041,0.0263770557924364,0.0041224950203625,0.0411584661738377,0.0,1.0,0.0,584.0,639.0,23.0,75.0,,,,-1
0.08,0.29,1.33,0.01,0.017,0.045,0.0095,650.0,33.0,3.3,300.0,600.0,0.75,0.032,0.03,0.43,0.05,0.053,0.005,0.01,0.0009079949920001,0.015,0.0,1.0,1.0,701.0,766.0,22.0,52.0,,,,-1
0.075,0.33,0.62,0.007,0.005,0.0429,0.0085,170.0,21.0,1.0,200.0,250.0,14.0,0.2128340265879234,1.2381282695186844,0.0474430299007437,0.0003,0.0597961884840338,0.0042,0.0005,0.0005,0.022,0.0,1.0,0.0,474.0,553.0,26.8,80.7,,,,-1
0.15,0.3,1.57,0.026,0.028,0.0421,0.0082,650.0,33.0,3.3,300.0,0.0,0.0,0.07,0.059,0.11,0.122,0.093,0.006,0.017,0.0011856028609922,0.006,0.0,1.0,1.0,661.0,,20.0,68.0,,,,-1
0.06,0.2,1.15,0.007,0.017,0.035,0.0097,170.0,21.0,2.4,125.0,605.0,1.92,0.16,0.052,0.45,0.067289722480694,0.128,0.0154566626569233,0.0302194638436546,0.0010796481765643,0.0150670600420207,0.0,1.0,1.0,,,,,-43.0,40.0,,-1
0.047,0.42,1.0,0.015,0.016,0.0695,0.0165,300.0,28.0,2.08,150.0,690.0,10.0,0.17,2.29,1.04,0.018,0.1126521431313825,0.006467653052426,0.0054923980360467,0.0007583392661855,0.0179357434520148,0.0,1.0,2.0,537.0,620.0,11.0,24.0,40.0,154.0,,-1
0.077,0.31,1.33,0.007,0.005,0.0419,0.008,170.0,21.0,1.0,200.0,580.0,2.0,1.6975036068410263,1.358306689377657,0.6950901929217048,0.0004,0.2754776466878881,0.0038,0.0005,0.0005,0.0006,0.0,1.0,0.0,372.0,497.0,31.4,76.4,-81.0,100.0,,-1
0.074,0.36,1.8,0.008,0.008,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.8128240245196867,1.358306689377657,0.4724704287225336,0.018,0.115790406451758,0.0048129369001778,0.0112494384777863,0.0003652525992038,0.0078692306400687,0.0,1.0,0.0,504.0,594.0,26.2,75.0,-60.0,55.0,,-1
0.076,0.28,1.53,0.008,0.006,0.0444,0.0084,170.0,21.0,1.0,200.0,250.0,14.0,0.0,0.0,0.25,0.0005,0.0,0.0005,0.0005,0.0005,0.0005,0.0,0.0,0.0,474.0,570.0,20.4,77.0,-61.0,28.0,,-1
0.065,0.39,1.53,0.005,0.006,0.0351,0.0093,170.0,21.0,1.0,200.0,250.0,14.0,1.4862015778324424,4.948279774134308,0.31826788071198,0.1316838710171248,0.2576294286495435,0.014,0.0228475071364043,0.0024590018834229,0.0449737190863037,0.0,1.0,4.0,513.0,579.0,27.0,77.9,,,,-1
0.042,0.31,0.98,0.006,0.007,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,4.8911600472972205,1.1706068300359795,0.138595681336512,0.18084565969504,0.0170788742193179,0.0204015193233804,0.0017658701822239,0.0385058686921108,0.0,1.0,0.0,392.0,476.0,34.4,80.6,-60.0,38.0,,-1
0.074,0.32,1.42,0.008,0.007,0.038,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,0.2397694663941106,0.6432810983917647,0.6438035197382626,0.018,0.19,0.004,0.007,0.0010059335706009,0.0012710557844253,0.0,1.0,0.0,488.0,566.0,28.2,77.0,,,,-1
0.076,0.19,1.16,0.02,0.02,0.0609,0.0131,550.0,28.0,3.6,100.0,0.0,0.0,0.17,0.07,0.02,0.02,0.17,0.01,0.005,0.001,0.02,0.0,1.0,1.0,441.0,557.0,16.0,69.0,34.0,70.0,,-1
0.07,0.34,1.06,0.006,0.008,0.0463,0.0085,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,1.57,0.2313060635066213,0.0808567845889956,0.4233889528830675,0.0041,0.0079614401982741,0.0010288099573906,0.0368578574377605,0.0,1.0,0.0,,,,,-48.0,100.0,,-1
0.05,0.33,0.83,0.02,0.018,0.0421,0.0082,150.0,37.5,1.0,300.0,690.0,3.0,1.0084118022387494,2.3,1.1,0.0139334475535447,0.0234004205882853,0.0059729219396102,0.007,0.0007737474008898,0.0326700783826387,0.0,1.0,0.0,,,,,,,222.0,-1
0.08,0.25,0.8,0.01,0.01,0.0421,0.0082,525.0,30.0,1.75,210.0,700.0,20.0,0.03,2.3,1.05,0.01,0.02,0.0150080177499949,0.0157495750136116,0.0009403368724165,0.0059353226178652,0.0,1.0,1.0,507.0,613.0,,,,,,-1
0.147,0.36,1.02,0.007,0.007,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,0.6493341494348892,0.6865823421890043,0.0842637996332813,0.0830941423361074,0.0096733799927104,0.025638462622755,0.0009739843386551,0.0009202735253377,0.0,1.0,0.0,482.0,576.0,29.4,76.9,-60.0,34.0,,-1
0.072,0.33,1.22,0.008,0.006,0.0447,0.0085,170.0,21.0,1.0,200.0,250.0,14.0,0.3264037311351015,0.9850631316227734,0.4724704287225336,0.019,0.0830941423361074,0.0029,0.0005,0.0005,0.0005,0.0,1.0,0.0,486.0,545.0,29.6,78.2,,,,-1
0.069,0.33,0.68,0.006,0.008,0.0395,0.0067,170.0,21.0,1.0,200.0,250.0,14.0,0.0,0.0,0.24,0.0005,0.0,0.0036,0.0005,0.0005,0.0005,0.0,0.0,0.0,436.0,519.0,24.6,78.6,-58.0,100.0,,-1
0.089,0.22,1.05,0.007,0.013,0.0592,0.046,180.0,34.0,1.0,175.0,750.0,8.0,0.3607045395005595,9.0,1.04,0.23,0.0830941423361074,0.0269335590517736,0.0182232603117651,0.0064,0.07,0.0,1.0,0.0,643.0,777.0,15.7,60.2,59.0,100.0,,-1
0.074,0.33,1.45,0.005,0.005,0.0408,0.009,170.0,21.0,1.0,200.0,250.0,14.0,1.0367646062398903,4.424982387143175,1.4650294918863058,0.1628281687837781,0.0830941423361074,0.0006,0.0136578274895212,0.0013573392110873,0.042289972616057,0.0,1.0,4.0,463.0,537.0,31.2,78.8,,,,-1
0.05,0.25,1.15,0.015,0.024,0.0421,0.014,170.0,21.0,2.4,200.0,0.0,0.0,0.0,0.0,0.0,0.004,0.12,0.003,0.0105,0.0005718700450205,0.005,0.0,1.0,1.0,420.8,504.2,33.0,73.0,,,164.0,-1
0.055,0.39,1.99,0.01,0.022,0.0364,0.0102,170.0,21.0,1.8,100.0,620.0,1.0,0.02,1.2919517219440668,0.54,0.0769807564579929,0.02,0.0059729219396102,0.0088702095778048,0.0007972174703344,0.027028527417207,0.0,1.0,0.0,693.0,783.0,,,,,,-1
0.048,0.33,1.85,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.2136592023252068,0.26,0.4086635587808626,0.018,0.0830941423361074,0.0221142989982381,0.0013226758845079,0.0011411560311109,0.0379406011941719,0.0,1.0,0.0,,,,,,,,-1
0.04,0.33,0.6,0.006,0.01,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.7916361665197902,0.51,0.4492700414536386,0.1325799072314317,0.2663500001160856,0.0056958052348823,0.026770180872972,0.000534572844077,0.0078692306400687,0.0,1.0,0.0,446.0,510.0,32.2,78.8,,,,-1
0.075,0.33,0.62,0.007,0.005,0.0429,0.0085,170.0,21.0,1.0,200.0,0.0,0.0,0.6017356490008369,2.717156647069036,0.9313776229497172,0.0003,0.0766726820270203,0.0042,0.0005,0.0005,0.022,0.0,1.0,0.0,,,,,-22.0,100.0,,-1
0.08,0.49,0.9,0.014,0.029,0.0421,0.017,170.0,21.0,1.9,150.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.005,0.0108,0.0003723844879131,0.0,0.0,1.0,0.0,486.8,577.5,20.5,70.2,,,191.0,-1
0.053,0.3,0.84,0.019,0.012,0.069,0.0082,150.0,37.5,1.0,300.0,690.0,3.0,1.1752091926849582,2.1,1.3,0.0694541669156482,0.3875576377875263,0.0111437260485763,0.0161929587922925,0.0013389763533975,0.0075308482607168,0.0,1.0,0.0,536.0,652.0,20.0,73.0,,,220.0,-1
0.1,0.22,0.55,0.009,0.013,0.026,0.0082,500.0,32.0,2.0,250.0,690.0,10.0,0.21,2.68,1.05,0.0780980688119609,0.2996726091419463,0.0139247253774931,0.02,0.0022984827897868,0.0311600665290933,0.0,1.0,5.0,492.0,610.0,27.0,,-60.0,15.0,,-1
0.08,0.36,1.02,0.014,0.014,0.0513,0.0051,650.0,30.0,2.925,250.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.015814191952948,0.023,0.0010964449706885,0.0,0.0,1.0,1.0,386.0,483.0,30.8,74.0,,,,-1
0.049,0.32,1.41,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,2.32,1.358306689377657,0.3574702303090482,0.0375587142980114,0.2012390108073708,0.0120488259794477,0.007,0.0001425435538879,0.0078692306400687,0.0,1.0,0.0,,,,,-38.0,100.0,,-1
0.076,0.51,1.3,0.005,0.008,0.0423,0.0048,170.0,21.0,1.0,200.0,0.0,0.0,1.8452023338855823,4.732651688019766,0.617471923361973,0.3239334253671099,0.4348761993367174,0.0043,0.049,0.0035947419880578,0.0435532823529931,0.0,1.0,0.0,,,,,-90.0,28.0,,-1
0.1,0.4,0.98,0.004,0.008,0.041,0.042,145.0,21.0,1.2,200.0,750.0,2.0,0.17,8.7,0.98,0.22,0.03,1e-06,1e-06,0.0026356445298054,0.03,0.0,1.0,0.0,,,,,20.0,27.0,,-1
0.06,0.32,1.23,0.002,0.002,0.038,0.008,163.0,25.0,1.2,175.0,720.0,8.0,1.01,8.4,0.89,0.22,0.01,0.01,0.01,0.0029243716040986,0.03,0.0,1.0,0.0,,,,,,,262.0,-1
0.072,0.33,1.22,0.008,0.006,0.0447,0.0085,170.0,21.0,1.0,200.0,580.0,2.0,0.1196361330996866,1.7374385474716685,0.4724704287225336,0.019,0.1168713914210618,0.0029,0.0005,0.0005,0.0005,0.0,1.0,0.0,455.0,533.0,28.4,77.9,-67.0,100.0,,-1
0.14,0.18,0.75,0.002,0.005,0.0256,0.0021,500.0,29.0,2.9,200.0,690.0,24.0,2.038033486268403,2.3,1.01,0.27,0.5727981521720793,0.0017513694371389,0.0359720642714568,0.0020981998106322,0.02,1.0,0.0,1.0,,714.0,,,,,,-1
0.08,0.28,1.48,0.007,0.006,0.0436,0.0094,170.0,21.0,1.0,200.0,250.0,14.0,0.0,1.07,0.0,0.0005,0.0,0.0005,0.0005,0.0005,0.0005,0.0,0.0,0.0,570.0,658.0,18.0,68.6,-20.0,100.0,,-1
0.048,0.33,1.37,0.008,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.0047821773133596,1.08,1.0944060860265274,0.0222351687344096,0.2124194809855165,0.0059729219396102,0.007,0.0007737474008898,0.0095479526123387,0.0,1.0,0.0,548.0,630.0,26.0,72.0,-17.0,100.0,,-1
0.081,0.48,1.42,0.004,0.006,0.0444,0.0046,170.0,21.0,1.0,200.0,250.0,14.0,1.1347451273682596,1.358306689377657,0.4731400414184611,0.1563331706430706,0.4673122863520778,0.0004,0.066,0.0013893656721044,0.0126493156088088,0.0,1.0,0.0,466.0,551.0,26.2,78.9,,,,-1
0.089,0.35,1.18,0.011,0.01,0.0404,0.0073,180.0,23.0,1.0,250.0,0.0,0.0,1.0130763487576648,1.358306689377657,0.2374182639443467,0.0325438501609022,0.0170456350808404,0.012,0.008,0.0005876613812158,0.0005461045352437,0.0,1.0,0.0,450.0,,,,-60.0,60.0,,-1
0.076,0.37,1.36,0.005,0.009,0.0422,0.0054,170.0,21.0,1.0,200.0,0.0,0.0,0.2128340265879234,1.358306689377657,0.4384992326977426,0.0005,0.0969553919793346,0.0036,0.019,0.0005,0.0005,0.0,1.0,0.0,,,,,-86.0,28.0,,-1
0.076,0.34,1.36,0.005,0.011,0.0476,0.0057,170.0,21.0,1.0,200.0,0.0,0.0,0.2128340265879234,1.7771342978901907,0.4724704287225336,0.0848562923040383,0.0830941423361074,0.0005,0.015,0.0012730069379645,0.004413260556312,0.0,1.0,0.0,,,,,-20.0,100.0,,-1
0.069,0.3,1.36,0.007,0.009,0.0432,0.0067,170.0,21.0,1.0,200.0,580.0,2.0,0.2450937461939751,1.358306689377657,0.0306572023096552,0.0005,0.1780397495012992,0.0037,0.0005,0.0005,0.0005,0.0,1.0,0.0,393.0,500.0,31.8,77.0,-100.0,28.0,,-1
0.088,0.34,1.33,0.008,0.007,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,1.9489938244585747,0.6940208114531219,0.018,0.0830941423361074,0.0110080865060586,0.0017283345300081,0.0007737474008898,0.0078692306400687,0.0,1.0,0.0,461.0,568.0,28.6,77.9,-40.0,155.0,,-1
0.055,0.37,0.82,0.021,0.008,0.0694,0.016,170.0,21.0,3.6,177.0,704.0,4.5,0.086,2.5,0.99,0.01,0.51,0.005,0.013,0.0007038865718931,0.0498848074491017,0.0,1.0,3.0,457.0,569.0,25.8,67.0,,,,-1
0.07,0.23,1.0,0.002,0.006,0.046,0.025,116.0,23.0,1.3,175.0,740.0,8.0,0.58,8.3,0.93,0.24,0.01,0.01,0.01,0.0023338926691886,0.034,0.0,1.0,0.0,,,,,,,219.0,-1
0.11,0.51,1.1,0.007,0.013,0.05,0.04,115.0,23.0,1.0,175.0,740.0,2.0,0.08,8.9,1.0,0.18,0.03,0.01,0.01,0.0015512279700036,0.09,0.0,1.0,0.0,,,,,,,263.0,-1
0.11,0.27,0.6,0.002,0.01,0.0421,0.037,400.0,31.5,1.4,177.0,746.0,4.0,0.14,8.77,1.01,0.2,0.1,0.002,1.4e-06,0.001,0.0497853982021056,1.0,1.0,9.0,629.0,735.0,21.0,68.0,,,,-1
0.053,0.7,1.28,0.013,0.015,0.0622,0.0071,280.0,30.0,2.8,200.0,200.0,14.0,0.03,0.1,0.0593030499218516,0.015,0.0860785982779705,0.008,0.012,0.0002,0.002,0.0,1.0,2.0,,557.0,,,,,,-1
0.067,0.3,0.65,0.007,0.007,0.046,0.0072,170.0,21.0,1.0,200.0,250.0,14.0,3.03,0.0,0.0,0.0005,0.0,0.0036,0.0005,0.0005,0.0005,0.0,0.0,0.0,477.0,557.0,29.4,78.0,-85.0,100.0,,-1
0.084,0.415,1.24,0.011,0.015,0.048,0.0086,170.0,21.0,2.4,100.0,550.0,1.83,0.05,0.037,0.385,0.018,0.105,0.0059729219396102,0.0011843825041758,0.0007737474008898,0.0224984488714801,0.0,1.0,1.0,529.0,635.0,25.6,70.0,,,,-1
0.074,0.34,1.0,0.007,0.006,0.0424,0.0086,170.0,21.0,1.0,200.0,250.0,14.0,0.6203376076175318,0.9977032456768388,0.2861609383037437,0.0005,0.2063177551989227,0.0037,0.0005,0.0005,0.0255,0.0,1.0,0.0,513.0,594.0,28.0,76.0,,,,-1
0.037,0.29,0.6,0.006,0.009,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.1381839417791168,3.4354073926544832,0.1709541047502971,0.0857055135481583,0.0830941423361074,0.0049687747375609,0.0032724515988856,0.0007737474008898,0.0125611146909888,0.0,1.0,0.0,,,,,-31.0,100.0,,-1
0.12,0.33,1.41,0.011,0.031,0.0329,0.0099,170.0,24.0,2.1,107.0,0.0,0.0,1.88,0.05,0.34,0.01,0.05,0.0091420897088656,0.0071136872837219,0.000870261774476,0.0078692306400687,0.0,1.0,0.0,808.0,875.0,16.6,,-39.0,50.0,,-1
0.042,0.14,1.33,0.012,0.015,0.0735,0.0236,300.0,28.0,1.96,150.0,690.0,10.0,0.26,2.39,1.21,0.015,0.0830941423361074,0.001125889420265,0.0015557886626071,0.0004179790269112,0.0078692306400687,0.0,1.0,2.0,520.0,620.0,20.0,54.0,60.0,148.0,,-1
0.043,0.3,1.03,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,20.0,0.0,0.0,1.2384655814648602,4.016221940845245,0.4964982191805017,0.1168369749539481,0.0566381230351586,0.0091583562690639,0.0110247363974556,0.0009332913856446,0.009225599902289,0.0,1.0,0.0,495.0,554.0,30.6,77.8,-32.0,100.0,,-1
0.051,0.33,1.83,0.006,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.1688270064289418,0.52,0.0088569547433877,0.018,0.0830941423361074,0.0106205851391566,0.0187999452125277,0.0007737474008898,0.0078692306400687,0.0,1.0,0.0,,,,,-35.0,100.0,,-1
0.059,0.34,0.77,0.01,0.01,0.0306,0.0066,180.0,23.0,1.0,250.0,0.0,0.0,0.2128340265879234,0.965608887158034,0.2559018723486972,0.018,0.3543322924547998,0.011,0.007,0.0007737474008898,0.0405256792508459,0.0,1.0,0.0,400.0,,,,0.0,190.0,,-1
0.077,0.32,1.33,0.007,0.005,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,0.2128340265879234,2.144575083472044,0.7971940469358911,0.0005,0.2093117260568722,0.0036,0.0005,0.0005,0.0005,0.0,1.0,0.0,463.0,541.0,27.1,75.9,,,,-1
0.043,0.12,0.86,0.011,0.017,0.0922,0.0123,300.0,20.0,2.08,150.0,690.0,10.0,0.2,2.01,0.93,0.02,0.1001517952394746,0.0043011190388739,0.0245450457690327,0.0016191749963702,0.0078692306400687,0.0,1.0,2.0,505.0,600.0,19.0,69.0,-60.0,3.0,,-1
0.098,0.18,1.29,0.017,0.017,0.0337,0.0061,625.0,72.24,4.4,200.0,0.0,0.0,0.921994236531006,1.358306689377657,0.01,0.01,0.21,0.0126680491876538,0.023503322661573,0.0004681056221284,0.0078692306400687,0.0,1.0,3.0,359.0,503.0,28.0,72.0,-40.0,95.0,,-1
0.043,0.3,0.69,0.006,0.007,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.6833639781709755,1.358306689377657,0.4724704287225336,0.018,0.2043598369880792,0.0127340767166577,0.0313184418414468,0.0005418569118204,0.0078692306400687,0.0,1.0,0.0,373.0,448.0,34.4,83.0,-50.0,53.0,,-1
0.078,0.26,1.43,0.006,0.006,0.0481,0.0086,170.0,21.0,1.0,200.0,250.0,14.0,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0005,0.0005,0.0005,0.0,0.0,0.0,434.0,526.0,29.2,78.0,-18.0,100.0,,-1
0.077,0.44,1.61,0.012,0.021,0.0434,0.0105,450.0,30.0,2.025,250.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0180912112934293,0.018,0.0017089634030753,0.0,0.0,1.0,1.0,455.0,563.0,29.4,73.0,,,,-1
0.07,0.08,0.98,0.01,0.01,0.0891,0.0097,300.0,28.0,2.04,150.0,690.0,10.0,0.27,2.07,1.07,0.015,0.0981115428826887,0.0221584247575144,0.0048483230698844,0.002055878454838,0.0345331127132841,0.0,1.0,2.0,440.0,540.0,24.0,67.0,-70.0,9.0,,-1
0.101,0.17,1.02,0.008,0.012,0.0664,0.0494,180.0,34.0,1.0,175.0,750.0,8.0,1.92,9.12,1.0,0.19,0.0830941423361074,0.014573106357296,0.0067493434496125,0.0025444102390129,0.047,0.0,1.0,0.0,672.0,866.0,13.6,56.8,,,,-1
0.1,0.42,0.96,0.003,0.006,0.04,0.043,143.0,21.0,1.1,200.0,760.0,8.0,0.17,8.8,1.01,0.21,0.02,1e-06,1e-06,0.00186743817106,0.09,0.0,1.0,0.0,,,,,-20.0,10.0,,-1
0.075,0.35,0.66,0.009,0.007,0.0396,0.0071,170.0,21.0,1.0,200.0,250.0,14.0,0.253355580123909,0.8855724099298111,0.4724704287225336,0.0005,0.0830941423361074,0.0096,0.0005,0.0005,0.0005,0.0,1.0,0.0,396.0,492.0,30.2,78.0,,,,-1
0.052,0.33,1.81,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.109752094511752,1.1,0.4724704287225336,0.0018487757656287,0.2166823832629059,0.002357123920323,0.007,0.000349486821896,0.0078692306400687,0.0,1.0,0.0,592.0,671.0,22.8,72.0,28.0,100.0,,-1
0.074,0.35,0.65,0.005,0.004,0.0426,0.0073,170.0,21.0,1.0,200.0,0.0,0.0,0.2128340265879234,2.3545633928470897,0.0357166579021395,0.0005,0.0830941423361074,0.0036,0.0005,0.0005,0.0005,0.0,1.0,0.0,,,,,-45.0,100.0,,-1
0.08,0.37,1.42,0.006,0.009,0.0439,0.0054,170.0,21.0,1.0,200.0,250.0,14.0,0.8509815240806533,1.358306689377657,0.8384365423222843,0.0005,0.4899486179529353,0.0043,0.012,0.0005,0.0005,0.0,1.0,0.0,480.0,543.0,29.0,78.9,,,,-1
0.094,0.2,1.03,0.008,0.015,0.064,0.0537,180.0,34.0,1.0,175.0,750.0,8.0,0.0,9.26,0.84,0.19,0.0830941423361074,0.0135207472858376,0.007,0.0016738663113839,0.058,0.0,1.0,0.0,489.0,686.0,18.7,49.6,,,,-1
0.071,0.36,0.63,0.007,0.006,0.0435,0.0078,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,2.2262853545213668,0.4342307145064776,0.021,0.1424307638418373,0.0043,0.0005,0.0005,0.0005,0.0,1.0,0.0,398.0,481.0,30.8,76.0,-47.0,100.0,,-1
0.045,0.32,0.97,0.007,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,1.04,0.2634041253796982,0.018,0.1416667598780122,0.0047397626366234,0.0090955527001533,0.0006073041271797,0.0134472399146321,0.0,1.0,0.0,471.0,568.0,26.2,77.0,-31.0,100.0,,-1
0.079,0.29,1.79,0.006,0.007,0.0406,0.0105,170.0,21.0,1.0,200.0,250.0,14.0,0.4475397125715699,3.4795325942420754,1.1161022260387043,0.0004,0.1910956141786788,0.0033,0.0005,0.0005,0.0895,0.0,1.0,0.0,654.0,708.0,19.2,70.8,,,,-1
