Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),target
0.11,0.51,1.1,0.007,0.013,0.05,0.04,115.0,23.0,1.0,175.0,740.0,8.0,0.08,8.9,1.0,0.18,0.03,0.01,0.01,0.0019958354480205,0.09,0.0,1.0,0.0,,,,,,,237.0,0
0.074,0.16,0.84,0.015,0.026,0.0415,0.0084,625.0,72.24,4.4,200.0,0.0,0.0,1.1525386782555151,1.358306689377657,0.02,0.004,0.28,0.0151351766069918,0.0148709769406807,0.0014454738989927,0.0078692306400687,0.0,1.0,3.0,352.0,459.0,36.0,72.0,-60.0,95.0,,1
0.071,0.42,1.39,0.007,0.005,0.0446,0.0065,170.0,21.0,1.0,200.0,0.0,0.0,1.0264951764736243,1.358306689377657,0.4724704287225336,0.018,0.1770859701205992,0.042,0.015,0.0019139967520064,0.0078692306400687,0.0,1.0,0.0,,,,,-56.0,100.0,,0
0.073,0.26,1.41,0.007,0.011,0.0392,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,0.7281101127438303,1.1862475562215966,0.4724704287225336,0.0554182446584973,0.0445827760085152,0.009,0.007,0.001056581062832,0.0091318880069137,0.0,1.0,0.0,478.0,540.0,24.2,78.9,,,,1
0.077,0.32,1.05,0.008,0.006,0.04,0.0072,170.0,21.0,1.0,200.0,580.0,2.0,0.4735059776925776,2.5755928532165906,0.054854794878582,0.085,0.0458196373368178,0.0034,0.0005,0.0005,0.0005,0.0,1.0,0.0,538.0,609.0,25.4,75.0,-40.0,100.0,,1
0.077,0.3,1.0,0.008,0.007,0.0464,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,1.6464146098431185,0.5045004509489336,0.4579826030263049,0.0005,0.2104650042204788,0.0007,0.0005,0.0005,0.0005,0.0,1.0,0.0,,,,,-56.0,100.0,,0
0.041,0.32,1.01,0.008,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,1.2271131706585732,0.24,0.4724704287225336,0.0917427896324039,0.2640759261104101,0.0059729219396102,0.0152992769116895,0.0008926116378794,0.0078692306400687,0.0,1.0,0.0,463.0,532.0,30.0,77.8,,,,1
0.059,0.3,1.44,0.006,0.01,0.0305,0.0065,180.0,23.0,1.0,250.0,0.0,0.0,0.2128340265879234,1.358306689377657,0.4724704287225336,0.018,0.2428695229812834,0.009,0.007,6.86736094758735e-05,0.0078692306400687,0.0,1.0,0.0,473.0,,,,-60.0,20.0,,0
0.036,0.31,0.6,0.008,0.012,0.0421,0.0082,170.0,21.0,1.0,20.0,0.0,0.0,0.5835407464330806,4.7641590767159,1.274554077802137,0.1137579515616131,0.1585492408794824,0.0156586054171826,0.0085451579696009,0.0010951511154486,0.037585055042404,0.0,1.0,0.0,450.0,506.0,28.8,77.8,-14.0,100.0,,1
0.078,0.44,1.31,0.005,0.008,0.0431,0.0052,170.0,21.0,1.0,200.0,0.0,0.0,2.423355324370759,1.358306689377657,0.4724704287225336,0.0005,0.3226232670960071,0.0036,0.034,0.0005,0.0005,0.0,1.0,0.0,,,,,-88.0,28.0,,0
0.072,0.35,1.05,0.005,0.007,0.0421,0.0073,170.0,21.0,1.0,200.0,580.0,2.0,2.427774179430952,0.79,0.2162172390098668,0.118002544379103,0.3667301567766872,0.0037,0.0192255008836148,0.0024923922651805,0.0233905376541885,0.0,1.0,0.0,,,,,-68.0,100.0,,0
0.058,0.2,0.55,0.027,0.027,0.073,0.0082,150.0,37.5,1.0,300.0,690.0,3.0,1.0057833266107064,1.8,1.2,0.018,0.0830941423361074,0.0115078178651461,0.0036637617457009,0.0006463105055384,0.0151831646309766,0.0,1.0,0.0,464.0,578.0,23.0,71.0,,,205.0,1
0.06,0.42,2.0,0.01,0.02,0.0371,0.0117,170.0,21.0,1.8,100.0,620.0,1.0,0.02,1.6607306617341069,0.01,0.0675887050742571,0.02,0.0018977365464688,0.0222325337228574,0.001646562549822,0.0199217913177452,0.0,1.0,0.0,530.0,626.0,,,,,,1
0.069,0.3,1.36,0.007,0.009,0.0432,0.0068,170.0,21.0,1.0,200.0,0.0,0.0,0.5269550240157085,3.182569706287873,0.8523032253510956,0.1029003739076743,0.400491472677587,0.0037,0.0005,0.0019924124467718,0.0237934977668272,0.0,1.0,0.0,,,,,-72.0,100.0,,0
0.078,0.31,1.04,0.007,0.006,0.0429,0.0048,170.0,21.0,1.0,200.0,580.0,2.0,0.4754646409795557,2.427983351887118,0.3014757772387313,0.044,0.1391370687463556,0.0032,0.0005,0.0005,0.0005,0.0,1.0,0.0,478.0,554.0,27.2,78.0,-51.0,100.0,,1
0.1,0.22,0.55,0.009,0.013,0.026,0.0082,500.0,32.0,2.0,250.0,690.0,10.0,0.21,2.68,1.05,0.0596254770499083,0.1461150133182636,0.0101801598586915,0.02,0.0012626800730477,0.0205337688985579,0.0,1.0,5.0,492.0,610.0,27.0,,0.0,164.0,,1
0.042,0.2,0.93,0.008,0.011,0.0421,0.0082,170.0,21.0,4.3,200.0,0.0,0.0,1.076285997292632,8.927194980773688,1.3273500681933952,0.1485133969843613,0.0830941423361074,0.001027661137798,0.007,0.0016229104578405,0.0301264968806575,0.0,1.0,0.0,,,,,-27.0,100.0,,0
0.047,0.42,1.0,0.015,0.016,0.0695,0.0165,300.0,28.0,2.08,150.0,690.0,10.0,0.17,2.29,1.04,0.018,0.4037982921737881,0.000324306933022,0.0089542531948621,0.0006390339236719,0.0380958679649366,0.0,1.0,2.0,537.0,620.0,11.0,24.0,20.0,96.0,,1
0.06,0.32,1.23,0.002,0.002,0.038,0.008,163.0,25.0,1.2,175.0,760.0,8.0,1.01,8.4,0.89,0.22,0.01,0.01,0.01,0.0023953512338041,0.03,0.0,1.0,0.0,,,,,,,246.0,0
0.076,0.34,1.36,0.005,0.011,0.0476,0.0057,170.0,21.0,1.0,200.0,0.0,0.0,0.2230873505042171,1.0558172250270736,0.0699250238017371,0.0536893077566402,0.2194316863398717,0.0005,0.015,0.0001803754013924,0.0208913940572474,0.0,1.0,0.0,,,,,-58.0,28.0,,0
0.086,0.2,1.01,0.007,0.012,0.0596,0.016,180.0,34.0,1.0,175.0,750.0,8.0,0.2128340265879234,8.9,1.01,0.21,0.0830941423361074,0.0046914806844972,0.0071830071018949,0.0019,0.051,0.0,1.0,0.0,569.0,709.0,17.4,62.7,-9.0,50.0,,1
0.04,0.33,0.6,0.006,0.01,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.8169885238011041,0.51,0.4724704287225336,0.0469076484809123,0.319047518005577,0.012666748317433,0.0146663415683957,0.001059400580387,0.0017254398818447,0.0,1.0,0.0,417.0,496.0,29.0,78.8,-17.0,100.0,,1
0.058,0.33,0.63,0.007,0.007,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.861886671284873,1.358306689377657,0.4724704287225336,0.018,0.0830941423361074,0.011871372734999,0.0095547111463817,0.0007737474008898,0.0078692306400687,0.0,1.0,0.0,386.0,465.0,33.4,78.8,-50.0,27.0,,1
0.089,0.35,0.68,0.008,0.008,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.5757975740342622,1.358306689377657,0.4724704287225336,0.018,0.2767168398053218,0.0059729219396102,0.0183487317242042,0.000397334749439,0.014025899857647,0.0,1.0,0.0,394.0,499.0,34.2,78.8,20.0,220.0,,1
0.071,0.39,1.36,0.005,0.009,0.0381,0.0052,170.0,21.0,1.0,200.0,0.0,0.0,0.1498012111913239,7.949828829544107,1.0590409389155857,0.1461762268046105,0.3326354624022689,0.0092,0.016,0.0020504051486973,0.0647186135779316,0.0,1.0,0.0,,,,,-68.0,28.0,,0
0.074,0.33,1.45,0.005,0.005,0.0408,0.009,170.0,21.0,1.0,200.0,0.0,0.0,0.1729775155421206,1.6396556911636944,0.2847045551637804,0.0120127134206572,0.0830941423361074,0.0006,0.007,0.0007737474008898,0.0078692306400687,0.0,1.0,4.0,,,,,-60.0,28.0,,0
0.037,0.3,0.65,0.008,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,1.1753837061926904,0.0,0.5005340704251064,0.018,0.4011724143009709,0.020535390175171,0.0062809669807574,0.0021353792027352,0.044515141422805,0.0,1.0,0.0,392.0,466.0,31.9,80.6,,,,1
