Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Titanium concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),Tin concentration (%),Arsenic concentration (%),Antimony concentration (%),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),Primary ferrite in microstructure (%),Ferrite with second phase (%),Acicular ferrite (%),AC or DC,Electrode positive or negative,Type of weld,Weld ID
0.045,0.33,1.85,0.007,0.016,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,0.0,0.5408891123930183,-0.2667043621010103,0.030018204814726234,0.2628418314321286,-0.013936482240857598,0.0008463326002838979,-0.013408726032776016,-0.0022762959312749953,0.007669315463172255,-0.0010189585125827015,658.1957989884146,756.782701118658,23.231744661123695,67.80519284822641,-38.0,100.0,245.8404094406887,13.0,17.0,60.0,0.0,1,0,Evans-Ni/CMn-1990/1991-0Dawch
0.045,0.33,1.85,0.007,0.016,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,0.0,3.7787205429778403,1.4700198123708588,0.027107625291094582,0.040454765477814805,-0.0017614058091563068,0.0005135058570687992,0.00873949310944335,0.008124128089796585,0.011017688760734152,0.008999128126221615,479.0,576.0,27.4,76.9,-40.0,100.0,194.8782599642941,9.462165232836039,36.67493732752068,79.4041083716757,0.0,1,0,Evans-Ni/CMn-1990/1991-0Dht
0.039,0.32,0.66,0.006,0.011,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,0.53,-4.89687278715418,-0.7876865800264097,-0.1695696195178345,-0.06648264674308343,0.010616373460640854,-0.0007653961857236829,-0.0045117679050586616,0.011550102045804847,0.019248355283823,-0.0034444285055446142,411.0,484.0,32.6,79.3,-95.68318957225719,83.484877012904,202.064955768535,16.29272724638015,54.20009249153949,27.73916364939611,0.0,1,0,Evans-Ni/CMn-1990/1991-0.5Aaw
0.039,0.32,0.66,0.006,0.011,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,0.53,-0.031964211654371244,0.13025665959597682,0.3054728665311886,0.1499103385450261,-0.02952965802815822,0.0017361875042018098,0.007923530737378634,0.014269834925389729,-0.0031327695282576187,0.01606722627232081,401.0,475.0,34.2,80.6,1.0065613565041005,95.71629224384162,227.70342784952527,-15.52369829264266,9.587788969053403,103.64906074879399,0.0,1,0,Evans-Ni/CMn-1990/1991-0.5Aht
0.041,0.33,1.01,0.006,0.011,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,0.49,-0.7445612948778267,-0.17013064787009935,0.016945129183412788,0.521752939434917,-0.0019677347417675862,0.0007037337751035736,-0.03795687172601435,0.0016106220989402474,0.00764413636025969,0.002067537059782376,464.0,522.0,29.6,77.8,-81.59266661725749,60.27229124051492,233.58864372522376,10.922632191007922,14.048663553255007,67.15031266783932,0.0,1,0,Evans-Ni/CMn-1990/1991-0.5Baw
0.041,0.33,1.01,0.006,0.011,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,0.49,1.9941909426593545,-0.15474379133356175,0.0003100384837052793,-0.11795669827909297,0.02570881708386904,0.0014823781167826833,0.010416060581058689,0.011867707442296418,0.012493068637137353,0.017088343240145118,409.5431284118646,490.93672865144345,31.852643700477024,85.0876030060813,-17.36384075121726,39.34175631763299,231.6012222628548,19.0,43.0,38.0,0.0,1,0,Evans-Ni/CMn-1990/1991-0.5Bawmic
0.041,0.33,1.01,0.006,0.011,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,0.49,6.550254178990903,1.065289900210393,0.34449584974463165,0.616177580841065,0.01615954562211414,0.001881239059645894,0.041506408321394114,0.015069598417265236,0.027537618153560282,0.009387819019481946,426.0,506.0,31.6,79.7,-10.78387806173204,199.6223129201524,165.4386088524037,98.03760439399286,-4.616642075912116,5.340390763491369,0.0,1,0,Evans-Ni/CMn-1990/1991-0.5Bht
0.051,0.32,1.4,0.007,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,0.47,5.260720024153996,0.42696737045884514,0.09443136864730603,0.015555536453771904,0.020896728600817753,-0.00011223104968566776,0.011178001196625948,0.00010876420763766999,-0.00186451266520916,-0.0071941769789751996,509.0,568.0,28.6,76.9,-37.977196289693794,179.8538955764157,240.87181681508275,24.700991573905405,19.12477416602216,43.26890651745594,0.0,1,0,Evans-Ni/CMn-1990/1991-0.5Caw
0.051,0.32,1.4,0.007,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,0.47,4.089721740361161,1.1779801774802503,0.12729860370922053,0.1100111835716829,0.02192359141208033,0.0005133433161542383,0.008759847137984188,0.002400061409383971,-0.012787452642975167,0.0030111086381868156,450.0,536.0,28.2,78.8,-126.57787851927212,36.94315600592957,245.75716601343711,-20.2701145796015,11.210582964938222,86.08754384905924,0.0,1,0,Evans-Ni/CMn-1990/1991-0.5Cht
0.049,0.33,1.85,0.006,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,0.51,4.479513831598577,1.3034558076177851,0.0928573754839562,-0.19803644097817363,0.0057434936481031516,-0.0005810550477278469,-0.000825451392475373,0.009506541620876819,0.0010777460930388788,0.0009693669438270717,547.0,618.0,26.0,74.9,-34.39392988795629,84.34769405728822,242.78798797713,22.0731650490192,-24.858658732892565,91.83171228045342,0.0,1,0,Evans-Ni/CMn-1990/1991-0.5Daw
